timestamp,open,high,low,close
1735689600,2625.1,2626.0,2621.48,2623.56
1735776000,2623.66,2660.38,2622.45,2658.3
1735862400,2658.28,2665.18,2636.62,2639.9
1736035200,2639.3,2642.23,2638.82,2640.85
1736121600,2640.84,2649.3,2614.37,2634.46
1736208000,2634.55,2664.1,2632.78,2649.56
1736294400,2649.46,2669.84,2645.1,2662.48
1736380800,2662.48,2678.4,2655.3,2669.8
1736467200,2669.86,2697.71,2663.2,2689.76
1736640000,2690.16,2690.87,2687.19,2690.87
1736726400,2690.82,2693.24,2656.62,2667.68
1736812800,2667.68,2679.2,2659.64,2675.42
1736899200,2675.46,2697.45,2669.32,2694.62
1736985600,2694.62,2724.56,2689.72,2714.45
1737072000,2714.36,2717.38,2698.44,2702.64
1737244800,2701.1,2702.77,2690.88,2696.24
1737331200,2696.18,2713.66,2689.31,2710.2
1737417600,2710.18,2745.85,2702.74,2744.06
1737504000,2744.06,2763.2,2742.46,2755.19
1737590400,2755.1,2758.66,2735.66,2754.36
1737676800,2754.38,2785.82,2754.08,2769.8
1737849600,2770.3,2770.4,2764.46,2767.28
1737936000,2767.28,2772.42,2730.53,2741.62
1738022400,2741.62,2764.88,2734.74,2762.54
1738108800,2762.58,2765.98,2745.0,2760.04
1738195200,2760.04,2798.3,2758.48,2795.96
1738281600,2795.95,2816.94,2790.9,2798.08
1738454400,2793.99,2803.15,2782.55,2792.54
1738540800,2792.11,2830.3,2771.88,2813.55
1738627200,2813.52,2845.34,2806.92,2841.04
1738713600,2841.1,2882.22,2839.34,2868.98
1738800000,2868.98,2873.08,2833.96,2857.84
1738886400,2857.84,2886.6,2852.08,2860.14
1739059200,2858.06,2870.3,2854.45,2867.2
1739145600,2867.2,2921.46,2865.56,2917.66
1739232000,2917.68,2942.66,2881.64,2898.38
1739318400,2898.38,2909.04,2863.68,2905.5
1739404800,2905.5,2932.22,2901.19,2930.94
1739491200,2930.94,2939.94,2876.8,2882.08
1739664000,2881.74,2893.4,2878.02,2879.08
1739750400,2879.1,2906.22,2879.1,2899.18
1739836800,2899.14,2936.82,2891.78,2933.78
1739923200,2933.78,2946.86,2918.36,2935.08
1740009600,2935.12,2954.76,2923.94,2941.2
1740096000,2941.26,2949.54,2916.62,2934.96
1740268800,2934.82,2940.07,2933.2,2936.64
1740355200,2936.48,2956.04,2921.06,2949.8
1740441600,2949.74,2952.4,2888.08,2918.4
1740528000,2918.48,2930.0,2890.59,2919.0
1740614400,2918.98,2918.98,2867.56,2875.82
